,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
30,2016-06-07,31.098718643188477,23.167369842529297,4.510000228881836,723.739990234375,26.387746810913086,38.44951629638672,43.84000015258789,137.90310668945312,69.97569274902344,46.46799850463867,2112.1298828125
31,2016-06-08,31.24286651611328,23.146316528320312,4.460000038146973,726.6400146484375,26.536584854125977,38.64464569091797,45.279998779296875,136.2816619873047,69.54572296142578,47.104000091552734,2119.1201171875
32,2016-06-09,32.09818649291992,23.31241226196289,4.519999980926514,727.6500244140625,26.475296020507812,38.82280349731445,43.84000015258789,136.7392578125,69.74698638916016,45.87200164794922,2115.47998046875
33,2016-06-10,31.84830665588379,23.12057876586914,4.320000171661377,717.9099731445312,26.300199508666992,39.01793670654297,43.20000076293945,133.5858917236328,67.63372802734375,43.757999420166016,2096.070068359375
34,2016-06-13,30.56053924560547,22.772001266479492,4.400000095367432,715.239990234375,26.1163387298584,38.57339096069336,41.439998626708984,132.67068481445312,66.67313385009766,43.57400131225586,2079.06005859375
35,2016-06-14,29.176666259765625,22.80007553100586,4.389999866485596,719.2999877929688,26.65039825439453,38.50499725341797,40.79999923706055,133.73507690429688,65.85894012451172,42.992000579833984,2075.320068359375
36,2016-06-15,29.301603317260742,22.725215911865234,4.420000076293945,714.260009765625,26.781726837158203,38.479347229003906,41.599998474121094,133.08848571777344,67.52394104003906,43.540000915527344,2071.5
37,2016-06-16,28.00421714782715,22.821134567260742,4.75,717.510009765625,27.02872657775879,38.73582077026367,37.91999816894531,134.75970458984375,67.35015106201172,43.58599853515625,2077.989990234375
38,2016-06-17,28.196426391601562,22.30178451538086,5.260000228881836,706.3900146484375,26.993440628051758,38.29126739501953,41.279998779296875,133.04872131347656,68.28324890136719,43.09400177001953,2071.219970703125
39,2016-06-20,28.552001953125,22.24797821044922,5.099999904632568,714.010009765625,27.196332931518555,38.45369338989258,38.720001220703125,134.3816680908203,69.6463623046875,43.939998626708984,2083.25
40,2016-06-21,28.849916458129883,22.437467575073242,5.449999809265137,715.8200073242188,27.293363571166992,38.581939697265625,39.84000015258789,135.11778259277344,69.9482650756836,43.922000885009766,2088.89990234375
